can_deliver_ict,notes,is_certified_enl,homeroom,last_name,can_deliver_setss,title,certifications,license_number,is_certified_sped,is_certified_slp,first_name,email,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"true","","false","Room 301","Davis","false","ICT Co-Teacher","[""Special Education""]","ICT-007","true","false","Robert","r.davis@ps101.edu","active","69fc969b098a9219c1d5a868","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"true","","false","Room 302","Reyes","false","ICT Co-Teacher","[""Special Education""]","ICT-008","true","false","Yolanda","y.reyes@ps101.edu","active","69fc969b098a9219c1d5a869","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","Room 102","Torres","false","Speech-Language Pathologist","[""SLP"",""CCC-SLP""]","SLP-009","false","true","James","j.torres@ps101.edu","active","69fc969b098a9219c1d5a86a","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","Room 103","Kim","false","Occupational Therapist","[""OT License""]","OT-010","false","false","Brenda","b.kim@ps101.edu","active","69fc969b098a9219c1d5a86b","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","Room 104","Vega","false","Physical Therapist","[""PT License""]","PT-011","false","false","Carlos","c.vega@ps101.edu","active","69fc969b098a9219c1d5a86c","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","Room 201","Washington","false","School Psychologist","[""School Psychology""]","PSY-012","false","false","Nicole","n.washington@ps101.edu","active","69fc969b098a9219c1d5a86d","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","Room 202","Brooks","false","School Counselor","[""School Counseling""]","CSL-013","false","false","Thomas","t.brooks@ps101.edu","active","69fc969b098a9219c1d5a86e","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Kindergarten","false","Room K-1","Chen","false","General Education Teacher","[""Childhood Ed K-6""]","GE-014","false","false","Linda","l.chen@ps101.edu","active","69fc969b098a9219c1d5a86f","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Kindergarten","false","Room K-2","Santos","false","General Education Teacher","[""Childhood Ed K-6""]","GE-015","false","false","Maria","m.santos@ps101.edu","active","69fc969b098a9219c1d5a870","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 1","false","Room 101A","Johnson","false","General Education Teacher","[""Childhood Ed K-6""]","GE-016","false","false","David","d.johnson@ps101.edu","active","69fc969b098a9219c1d5a871","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 1","false","Room 101B","Williams","false","General Education Teacher","[""Childhood Ed K-6""]","GE-017","false","false","Karen","k.williams@ps101.edu","active","69fc969b098a9219c1d5a872","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 2","false","Room 201A","Moore","false","General Education Teacher","[""Childhood Ed K-6""]","GE-018","false","false","Steven","s.moore@ps101.edu","active","69fc969b098a9219c1d5a873","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 2","false","Room 201B","Taylor","false","General Education Teacher","[""Childhood Ed K-6""]","GE-019","false","false","Rachel","r.taylor@ps101.edu","active","69fc969b098a9219c1d5a874","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 3","false","Room 301A","Harris","false","General Education Teacher","[""Childhood Ed K-6""]","GE-020","false","false","Anthony","a.harris@ps101.edu","active","69fc969b098a9219c1d5a875","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"true","Grade 3 ICT","false","Room 301B","Clark","false","General Education Teacher","[""Childhood Ed K-6""]","GE-021","false","false","Jennifer","j.clark@ps101.edu","active","69fc969b098a9219c1d5a876","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 4","false","Room 401A","Lewis","false","General Education Teacher","[""Childhood Ed K-6""]","GE-022","false","false","William","w.lewis@ps101.edu","active","69fc969b098a9219c1d5a877","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"true","Grade 4 ICT","false","Room 401B","Robinson","false","General Education Teacher","[""Childhood Ed K-6""]","GE-023","false","false","Stephanie","s.robinson@ps101.edu","active","69fc969b098a9219c1d5a878","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","Grade 5","false","Room 501A","Walker","false","General Education Teacher","[""Childhood Ed K-6""]","GE-024","false","false","Daniel","d.walker@ps101.edu","active","69fc969b098a9219c1d5a879","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"true","Grade 5 ICT","false","Room 501B","Hall","false","General Education Teacher","[""Childhood Ed K-6""]","GE-025","false","false","Michelle","m.hall@ps101.edu","active","69fc969b098a9219c1d5a87a","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","ICT support para","false","Room 301B","Allen","false","Paraprofessional","[]","","false","false","Paul","p.allen@ps101.edu","active","69fc969b098a9219c1d5a87b","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","ICT support para","false","Room 401B","Young","false","Paraprofessional","[]","","false","false","Dorothy","d.young@ps101.edu","active","69fc969b098a9219c1d5a87c","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","1:1 para for IEP student","false","Room 501B","King","false","Paraprofessional","[]","","false","false","George","g.king@ps101.edu","active","69fc969b098a9219c1d5a87d","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","Room 203","Wright","false","Social Worker","[""LMSW""]","SW-029","false","false","Sandra","s.wright@ps101.edu","active","69fc969b098a9219c1d5a87e","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","","Principal Rivera","false","Assistant Principal","[""School Building Leader""]","ADM-030","false","false","Assistant","ap.rivera@ps101.edu","active","69fc969b098a9219c1d5a87f","2026-05-07T13:41:47.462000","2026-05-07T13:41:47.462000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","false","","Martínez","false","Principal","[""School Building Leader""]","ADM-001","false","false","Susan","s.martinez@ps101.edu","active","69fc969b098a9219c1d5a862","2026-05-07T13:41:47.461000","2026-05-07T13:41:47.461000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"true","","false","Room 200","Okafor","true","SpEd Coordinator","[""Special Education"",""Administration""]","SPC-002","true","false","Kevin","k.okafor@ps101.edu","active","69fc969b098a9219c1d5a863","2026-05-07T13:41:47.461000","2026-05-07T13:41:47.461000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","true","Room 110","Lee","false","ENL Teacher","[""TESOL""]","ENL-003","false","false","Patricia","p.lee@ps101.edu","active","69fc969b098a9219c1d5a864","2026-05-07T13:41:47.461000","2026-06-01T17:57:55.759000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","","true","Room 112","Nguyen","false","ENL Teacher","[""TESOL""]","ENL-004","false","false","Diana","d.nguyen@ps101.edu","active","69fc969b098a9219c1d5a865","2026-05-07T13:41:47.461000","2026-05-07T13:41:47.461000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
